Variable xr: a, t, e 
133,2,9,5 
133,3,9,5 
133,4,9,5 
133,5,9,5 
133,6,9,5 
133,7,9,5 
133,8,9,5 
133,9,9,5 
133,10,9,5 
131,1,10,5 
131,2,10,5 
131,3,10,5 
131,4,10,5 
131,5,10,5 
131,6,10,5 
131,7,10,5 
131,8,10,5 
131,9,10,5 
131,10,10,5 
132,1,11,5 
132,2,11,5 
132,3,11,5 
132,4,11,5 
132,5,11,5 
132,6,11,5 
132,7,11,5 
132,8,11,5 
132,9,11,5 
132,10,11,5 
133,1,12,5 
133,2,12,5 
133,3,12,5 
133,4,12,5 
133,5,12,5 
133,6,12,5 
133,7,12,5 
133,8,12,5 
133,9,12,5 
133,10,12,5 
135,1,13,5 
135,2,13,5 
135,3,13,5 
135,4,13,5 
135,5,13,5 
135,6,13,5 
135,7,13,5 
135,8,13,5 
135,9,13,5 
135,10,13,5 
133,1,14,5 
133,2,14,5 
133,3,14,5 
133,4,14,5 
133,5,14,5 
133,6,14,5 
133,7,14,5 
133,8,14,5 
133,9,14,5 
133,10,14,5 
132,1,15,5 
132,2,15,5 
132,3,15,5 
132,4,15,5 
132,5,15,5 
132,6,15,5 
132,7,15,5 
132,8,15,5 
132,9,15,5 
132,10,15,5 
131,1,16,5 
131,2,16,5 
131,3,16,5 
131,4,16,5 
131,5,16,5 
131,6,16,5 
131,7,16,5 
131,8,16,5 
131,9,16,5 
131,10,16,5 
134,1,17,5 
134,2,17,5 
134,3,17,5 
134,4,17,5 
134,5,17,5 
134,6,17,5 
134,7,17,5 
134,8,17,5 
134,9,17,5 
134,10,17,5 
131,1,18,5 
131,2,18,5 
131,3,18,5 
131,4,18,5 
131,5,18,5 
131,6,18,5 
131,7,18,5 
131,8,18,5 
131,9,18,5 
131,10,18,5 
134,1,19,5 
134,2,19,5 
134,3,19,5 
134,4,19,5 
134,5,19,5 
134,6,19,5 
134,7,19,5 
134,8,19,5 
134,9,19,5 
134,10,19,5 
131,1,20,5 
131,2,20,5 
131,3,20,5 
131,4,20,5 
131,5,20,5 
131,6,20,5 
131,7,20,5 
131,8,20,5 
131,9,20,5 
131,10,20,5 
129,1,1,6 
129,2,1,6 
129,3,1,6 
129,4,1,6 
129,5,1,6 
129,6,1,6 
129,7,1,6 
129,8,1,6 
129,9,1,6 
129,10,1,6 
0,1,2,6 
0,2,2,6 
0,3,2,6 
0,4,2,6 
0,5,2,6 
0,6,2,6 
0,7,2,6 
0,8,2,6 
0,9,2,6 
0,10,2,6 
130,1,3,6 
130,2,3,6 
130,3,3,6 
130,4,3,6 
130,5,3,6 
130,6,3,6 
130,7,3,6 
130,8,3,6 
130,9,3,6 
130,10,3,6 
132,1,4,6 
132,2,4,6 
132,3,4,6 
132,4,4,6 
132,5,4,6 
132,6,4,6 
132,7,4,6 
132,8,4,6 
132,9,4,6 
132,10,4,6 
130,1,5,6 
130,2,5,6 
130,3,5,6 
130,4,5,6 
130,5,5,6 
130,6,5,6 
130,7,5,6 
130,8,5,6 
130,9,5,6 
130,10,5,6 
128,1,6,6 
128,2,6,6 
128,3,6,6 
128,4,6,6 
128,5,6,6 
128,6,6,6 
128,7,6,6 
128,8,6,6 
128,9,6,6 
128,10,6,6 
130,1,7,6 
130,2,7,6 
130,3,7,6 
130,4,7,6 
130,5,7,6 
130,6,7,6 
130,7,7,6 
130,8,7,6 
130,9,7,6 
130,10,7,6 
126,1,8,6 
126,2,8,6 
126,3,8,6 
126,4,8,6 
126,5,8,6 
126,6,8,6 
126,7,8,6 
126,8,8,6 
126,9,8,6 
126,10,8,6 
126,1,9,6 
126,2,9,6 
126,3,9,6 
126,4,9,6 
126,5,9,6 
126,6,9,6 
126,7,9,6 
126,8,9,6 
126,9,9,6 
126,10,9,6 
134,1,10,6 
134,2,10,6 
134,3,10,6 
134,4,10,6 
134,5,10,6 
134,6,10,6 
134,7,10,6 
134,8,10,6 
134,9,10,6 
134,10,10,6 
136,1,11,6 
136,2,11,6 
136,3,11,6 
136,4,11,6 
136,5,11,6 
136,6,11,6 
136,7,11,6 
136,8,11,6 
136,9,11,6 
136,10,11,6 
134,1,12,6 
134,2,12,6 
134,3,12,6 
134,4,12,6 
134,5,12,6 
134,6,12,6 
134,7,12,6 
134,8,12,6 
134,9,12,6 
134,10,12,6 
127,1,13,6 
127,2,13,6 
127,3,13,6 
127,4,13,6 
127,5,13,6 
127,6,13,6 
127,7,13,6 
127,8,13,6 
127,9,13,6 
127,10,13,6 
127,1,14,6 
127,2,14,6 
127,3,14,6 
127,4,14,6 
127,5,14,6 
127,6,14,6 
127,7,14,6 
127,8,14,6 
127,9,14,6 
127,10,14,6 
133,1,15,6 
133,2,15,6 
133,3,15,6 
133,4,15,6 
133,5,15,6 
133,6,15,6 
133,7,15,6 
133,8,15,6 
133,9,15,6 
133,10,15,6 
132,1,16,6 
132,2,16,6 
132,3,16,6 
132,4,16,6 
132,5,16,6 
132,6,16,6 
132,7,16,6 
132,8,16,6 
132,9,16,6 
132,10,16,6 
131,1,17,6 
131,2,17,6 
131,3,17,6 
131,4,17,6 
131,5,17,6 
131,6,17,6 
131,7,17,6 
131,8,17,6 
131,9,17,6 
131,10,17,6 
133,1,18,6 
133,2,18,6 
133,3,18,6 
133,4,18,6 
133,5,18,6 
133,6,18,6 
133,7,18,6 
133,8,18,6 
133,9,18,6 
133,10,18,6 
131,1,19,6 
131,2,19,6 
131,3,19,6 
131,4,19,6 
131,5,19,6 
131,6,19,6 
131,7,19,6 
131,8,19,6 
131,9,19,6 
131,10,19,6 
130,1,20,6 
130,2,20,6 
130,3,20,6 
130,4,20,6 
130,5,20,6 
130,6,20,6 
130,7,20,6 
130,8,20,6 
130,9,20,6 
130,10,20,6 
131,1,1,7 
131,2,1,7 
131,3,1,7 
131,4,1,7 
131,5,1,7 
131,6,1,7 
131,7,1,7 
131,8,1,7 
131,9,1,7 
131,10,1,7 
0,1,2,7 
0,2,2,7 
0,3,2,7 
0,4,2,7 
0,5,2,7 
0,6,2,7 
0,7,2,7 
0,8,2,7 
0,9,2,7 
0,10,2,7 
131,1,3,7 
131,2,3,7 
131,3,3,7 
131,4,3,7 
131,5,3,7 
131,6,3,7 
131,7,3,7 
131,8,3,7 
131,9,3,7 
131,10,3,7 
138,1,4,7 
138,2,4,7 
138,3,4,7 
138,4,4,7 
138,5,4,7 
138,6,4,7 
138,7,4,7 
138,8,4,7 
138,9,4,7 
138,10,4,7 
131,1,5,7 
131,2,5,7 
131,3,5,7 
131,4,5,7 
131,5,5,7 
131,6,5,7 
131,7,5,7 
131,8,5,7 
131,9,5,7 
131,10,5,7 
131,1,6,7 
131,2,6,7 
131,3,6,7 
131,4,6,7 
131,5,6,7 
131,6,6,7 
131,7,6,7 
131,8,6,7 
131,9,6,7 
131,10,6,7 
131,1,7,7 
131,2,7,7 
131,3,7,7 
131,4,7,7 
131,5,7,7 
131,6,7,7 
131,7,7,7 
131,8,7,7 
131,9,7,7 
131,10,7,7 
132,1,8,7 
132,2,8,7 
132,3,8,7 
132,4,8,7 
132,5,8,7 
132,6,8,7 
132,7,8,7 
132,8,8,7 
132,9,8,7 
132,10,8,7 
131,1,9,7 
131,2,9,7 
131,3,9,7 
131,4,9,7 
131,5,9,7 
131,6,9,7 
131,7,9,7 
131,8,9,7 
131,9,9,7 
131,10,9,7 
131,1,10,7 
131,2,10,7 
131,3,10,7 
131,4,10,7 
131,5,10,7 
131,6,10,7 
131,7,10,7 
131,8,10,7 
131,9,10,7 
131,10,10,7 
134,1,11,7 
134,2,11,7 
134,3,11,7 
134,4,11,7 
134,5,11,7 
134,6,11,7 
134,7,11,7 
134,8,11,7 
134,9,11,7 
134,10,11,7 
132,1,12,7 
132,2,12,7 
132,3,12,7 
132,4,12,7 
132,5,12,7 
132,6,12,7 
132,7,12,7 
132,8,12,7 
132,9,12,7 
132,10,12,7 
127,1,13,7 
127,2,13,7 
127,3,13,7 
127,4,13,7 
127,5,13,7 
127,6,13,7 
127,7,13,7 
127,8,13,7 
127,9,13,7 
127,10,13,7 
135,1,14,7 
135,2,14,7 
135,3,14,7 
135,4,14,7 
135,5,14,7 
135,6,14,7 
135,7,14,7 
135,8,14,7 
135,9,14,7 
135,10,14,7 
135,1,15,7 
135,2,15,7 
135,3,15,7 
135,4,15,7 
135,5,15,7 
135,6,15,7 
135,7,15,7 
135,8,15,7 
135,9,15,7 
135,10,15,7 
132,1,16,7 
132,2,16,7 
132,3,16,7 
132,4,16,7 
132,5,16,7 
132,6,16,7 
132,7,16,7 
132,8,16,7 
132,9,16,7 
132,10,16,7 
130,1,17,7 
130,2,17,7 
130,3,17,7 
130,4,17,7 
130,5,17,7 
130,6,17,7 
130,7,17,7 
130,8,17,7 
130,9,17,7 
130,10,17,7 
124,1,18,7 
124,2,18,7 
124,3,18,7 
124,4,18,7 
124,5,18,7 
124,6,18,7 
124,7,18,7 
124,8,18,7 
124,9,18,7 
124,10,18,7 
124,1,19,7 
124,2,19,7 
124,3,19,7 
124,4,19,7 
124,5,19,7 
124,6,19,7 
124,7,19,7 
124,8,19,7 
124,9,19,7 
124,10,19,7 
124,1,20,7 
124,2,20,7 
124,3,20,7 
124,4,20,7 
124,5,20,7 
124,6,20,7 
124,7,20,7 
124,8,20,7 
124,9,20,7 
124,10,20,7 
131,1,1,8 
131,2,1,8 
131,3,1,8 
131,4,1,8 
131,5,1,8 
131,6,1,8 
131,7,1,8 
131,8,1,8 
131,9,1,8 
131,10,1,8 
0,1,2,8 
0,2,2,8 
0,3,2,8 
0,4,2,8 
0,5,2,8 
0,6,2,8 
0,7,2,8 
0,8,2,8 
0,9,2,8 
0,10,2,8 
127,1,3,8 
127,2,3,8 
127,3,3,8 
127,4,3,8 
127,5,3,8 
127,6,3,8 
127,7,3,8 
